circular,n_longerons,n_storeys,twist_angle,ratio_shear_modulus,bow_amplitude,ratio_a,ratio_b,ratio_pitch,ratio_top_diameter,sigma_crit,coilable,_delegation_id,_source,_ts,_wall_ms,max_compressive_strain,max_local_strain
2.0,3.0,1.0,0.0,0.3677,0.1423350884830083,0.0148825159534636,0.0373756084532946,0.5745914442721552,0.5334345738451591,7.872440105097511,1,D012,supercompressible-material-creative,2026-07-07T05:26:19+00:00,1522359.404,,
2.0,3.0,1.0,0.0,0.3677,0.1361806559216512,0.01823369139587,0.0385100917727311,0.5710362908351108,0.5159731128281854,13.290498781127209,1,D012,supercompressible-material-creative,2026-07-07T05:26:24+00:00,1527435.84,,
2.0,3.0,1.0,0.0,0.3677,0.0397411149167446,0.0069234570120465,0.0163360808182045,0.6946451963863168,0.2618986022741142,0.1928066642592457,1,D012,supercompressible-material-creative,2026-07-07T05:26:27+00:00,1529489.746,,
2.0,3.0,1.0,0.0,0.3677,0.1148292430201513,0.0184550263846889,0.0390873764443691,0.5850969692795193,0.5164788266603099,13.806160796744948,1,D012,supercompressible-material-creative,2026-07-07T05:26:27+00:00,1528961.288,,
2.0,3.0,1.0,0.0,0.3677,0.0868971898876098,0.0114463808274468,0.0128609867898616,0.3238437540843675,0.3301053110265233,0.4865472713614635,1,D012,supercompressible-material-creative,2026-07-07T05:26:28+00:00,1530888.619,,
2.0,3.0,1.0,0.0,0.3677,0.0863030616632807,0.0118822284832205,0.0129656883882518,0.320154902879273,0.3261634331476957,0.5286490589740396,1,D012,supercompressible-material-creative,2026-07-07T05:26:33+00:00,1534586.093,,
2.0,3.0,1.0,0.0,0.3677,0.0053727311377814,0.0184833205387132,0.0434243320330548,0.4722032869669795,0.1400012886520463,8.12241946904718,1,D012,supercompressible-material-creative,2026-07-07T05:26:33+00:00,1536096.634,,
2.0,3.0,1.0,0.0,0.3677,0.0313617432621371,0.0153735259257066,0.0165656050951447,0.6375868957032621,0.2939254001781151,1.3689447171810891,1,D012,supercompressible-material-creative,2026-07-07T05:26:33+00:00,1535391.418,,
2.0,3.0,1.0,0.0,0.3677,0.1563167555095982,0.0150083716717755,0.0396784804692042,0.3622933610029141,0.5610038105704611,9.966070329823696,1,D012,supercompressible-material-creative,2026-07-07T05:26:39+00:00,1542333.469,,
2.0,3.0,1.0,0.0,0.3677,0.0653174362903218,0.0071562015173454,0.0156273762503052,0.8760730396138633,0.1901017945481354,0.182450982628733,1,D012,supercompressible-material-creative,2026-07-07T05:26:42+00:00,1545012.547,,
2.0,3.0,1.0,0.0,0.3677,0.1553992107411604,0.0149030336435067,0.0395251660404931,0.3432478629007576,0.551166297698178,9.568395178684748,1,D012,supercompressible-material-creative,2026-07-07T05:26:50+00:00,1553710.302,,
2.0,3.0,1.0,0.0,0.3677,0.014441907562796,0.0097950543917154,0.0433625265249384,0.4912042828194987,0.1387850940981936,1.4174551438354988,1,D012,supercompressible-material-creative,2026-07-07T05:26:52+00:00,1554472.015,,
2.0,3.0,1.0,0.0,0.3677,0.016429594711818627,0.010657346956089412,0.04335214522445814,0.4760573961440779,0.12841576507627087,1.776126723587394,1,D012,supercompressible-material-creative,2026-07-07T05:26:59+00:00,1561761.066,,
